community_area,zip_codes,population,latitude,longitude,community_area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
Near South Side,"60605, 60607, 60616",24343,41.85778°N,87.62389°W,Near South Side,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169.0,19.2,61.5,6.6,4.8,46.2,51.4,52.4,318.7,5.0,11.1,1.4,21.0,7.1,60593,5.7
Armour Square,"60609, 60616",13779,41.8333°N,87.6333°W,Armour Square,11.5,57.1,12.4,79.1,11.8,16.2,1.8,10.7,162.9,23.1,42.5,1.8,1.5,54.3,17.2,38.7,218,22.7,35.8,5.9,37.9,37.5,16942,11.6
Douglas,"60609, 60616, 60653",21268,41.83472°N,87.62056°W,Douglas,10.3,42.2,11.7,76.0,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,727.4,4.2,26.1,1.6,31.0,16.9,23098,16.7
Oakland,60653,6422,41.8200°N,87.6000°W,Oakland,17.5,63.9,13.5,75.0,11.5,54.5,18.9,20.6,159.7,14.5,88.7,12.6,8.2,54.5,54.2,43.7,1629.3,6.7,38.1,3.5,40.5,17.6,19312,26.6
Fuller Park,60609,2399,41.8100°N,87.6267°W,Fuller Park,11.9,60.4,17.1,71.4,14.3,69.2,49.6,8.5,258.9,21.1,111.7,22.6,22.6,89.6,70.5,82.4,1556.4,0.0,55.5,4.5,38.2,33.7,9016,40.0
Grand Boulevard,"60609, 60615, 60653",22784,41.8100°N,87.6200°W,Grand Boulevard,14.3,58.2,12.7,74.2,13.7,54.8,32.1,22.6,218.3,27.7,82.6,25.8,12.1,63.8,39.0,46.7,1680,13.2,28.3,2.7,41.7,19.4,22056,20.6
Kenwood,"60615, 60653",17440,41.8100°N,87.6000°W,Kenwood,12.2,51.1,11.4,77.6,11.9,25.7,15.2,30.9,196.4,34.2,45.5,17.4,8.9,49.1,46.2,31.5,549.1,0.0,23.1,2.3,34.2,10.8,37519,11.0
Washington Park,"60609, 60615, 60621, 60637",11355,41.7900°N,87.6200°W,Washington Park,19.3,72.1,17.7,74.9,16.9,82.6,44.6,26.0,258.0,31.9,88.2,39.5,19.3,79.8,67.0,43.3,2058,5.0,39.1,4.9,40.9,28.3,13087,23.2
Hyde Park,"60615, 60637",27517,41.800°N,87.5900°W,Hyde Park,9.7,33.9,5.9,80.3,5.5,7.6,5.8,33.6,144.0,11.7,34.0,5.0,10.4,34.9,24.1,26.0,168.4,5.3,18.2,2.5,26.7,5.3,39243,6.9
Woodlawn,60637,22925,41.7800°N,87.600°W,Woodlawn,15.1,60.1,17.4,73.3,16.3,51.1,31.1,32.9,241.3,23.9,82.1,25.0,11.5,69.8,58.0,60.0,1818.6,17.4,28.3,1.8,37.6,17.9,18928,17.3
South Shore,"60649, 60619, 60637",51451,41.7600°N,87.5800°W,South Shore,15.7,67.9,13.8,71.9,13.4,65.9,33.4,32.4,246.0,25.1,95.4,30.0,11.4,70.0,54.8,53.2,1357.1,11.7,31.5,2.9,37.6,14.9,18366,17.7
Chatham,"60619, 60620","31,392",41.74000°N,87.61167°W,Chatham,14.4,71.3,15.4,72.5,15.6,68.2,45.2,41.9,213.5,24.1,73.2,37.9,10.9,51.5,47.9,50.3,1855.8,8.2,25.3,2.2,40.0,13.7,20320,19.0
Avalon Park,"60617, 60619",9780,41.750°N,87.5900°W,Avalon Park,13.3,69.6,19.7,74.5,14.6,63.9,22.1,33.8,239.6,27.7,83.9,18.5,11.4,57.9,45.1,44.5,2059.9,1.9,16.7,0.6,41.9,13.3,23495,16.6
South Chicago,60617,"28,095",41.7400°N,87.550°W,South Chicago,18.1,82.2,13.0,75.3,15.1,76.8,36.9,31.9,227.3,21.1,86.9,33.7,17.7,50.9,56.3,50.6,893.5,6.9,28.0,5.9,43.1,28.2,15393,17.7
Burnside,60619,"2,254",41.7300°N,87.600°W,Burnside,12.9,64.0,7.9,68.4,13.2,68.7,70.3,7.6,191.2,32.8,86.1,70.3,13.0,69.5,44.0,99.1,1574.8,6.8,22.5,5.5,40.4,18.6,13756,23.4
Calumet Heights,"60617, 60619","13,732",41.72833°N,87.57972°W,Calumet Heights,10.0,57.4,9.3,75.0,16.4,39.3,19.5,33.5,216.6,36.0,81.4,24.5,13.9,48.0,40.4,39.2,1106.5,2.8,12.0,1.8,42.3,11.2,28977,17.2
Roseland,"60619, 60620, 60628","42,505",41.7100°N,87.6200°W,Roseland,14.3,68.8,12.2,69.0,12.8,79.7,40.9,43.5,258.5,32.0,95.5,37.7,9.6,70.3,57.6,55.6,1725.3,7.9,19.5,3.1,40.9,17.4,17974,17.8
Pullman,60628,6501,41.7100°N,87.6200°W,Pullman,14.3,66.5,11.2,81.3,12.1,67.9,32.2,34.6,262.5,28.1,78.5,32.1,13.6,83.8,92.9,65.3,1480.4,2.7,20.1,1.4,42.0,15.6,19007,21.0
South Deering,"60617, 60633","15,305",41.7100°N,87.5600°W,South Deering,15.8,76.7,14.9,76.9,15.7,65.3,41.3,25.3,224.0,32.5,80.6,35.1,11.8,59.2,48.7,54.9,1018.2,2.6,24.5,6.0,41.4,21.9,15506,11.8
